name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source,source_url,dataset_id
1%IN WATER +AMINES,,14.96,18.33,15.15,16.22,Biologically Interesting Systems,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
1%IN WATER -AMINES,,15.07,20.44,16.5,18.12,Biologically Interesting Systems,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
1/2-sec.-NITRO CELLULOSE H 23,,15.41,14.73,8.84,11.46,Nitrocellulose,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
2-COMP EPOXY CHEMICAL RES.,,18.4,9.4,10.1,7.0,Special Data,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
4H 35°C,,19.4,13.4,18.0,8.6,Correlations for Some Barrier-Type Polymers,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
4H 35°C no plasticizer included,,20.5,11.3,10.3,6.7,Correlations for Some Barrier-Type Polymers,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
ABS CR,,16.3,2.7,7.1,7.8,Chemical Resistance of High Performance and Other Polymers,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
ACETAL CELANESE,,21.1,9.3,5.9,11.4,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
ACETALHOMO-DUO,,19.0,5.0,8.0,5.0,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
ACID DEGMP,,15.3,13.3,14.9,15.6,Polyesters - Solvent Range,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
ACRYLAMIDE MONOMER,,16.9,18.1,19.9,17.0,Miscellaneous - Solvent Range,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
ACRYLOID B-44,,19.4,11.2,4.4,10.5,Acrylics - Solvent Range,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
ACRYLOID B-66,,18.0,9.0,3.0,9.0,Acrylics - Solvent Range,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
ACRYLOID B-72,,19.2,11.2,1.8,11.0,Acrylics - Solvent Range,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
ACRYLOID B-82,,19.1,9.1,3.3,9.0,Acrylics - Solvent Range,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
ACRYLOID K120N,,17.6,10.0,3.8,9.5,Vinyl Resins - Solvent Range,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
ALFTALAT AC 366,,18.6,10.0,5.0,10.4,Binders in Solution: Alkyds and Polyesters,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
ALFTALAT AM 756,,23.0,2.2,4.2,16.9,Binders in Solution: Alkyds and Polyesters,0.3,1,hansen_a2,,"hansen_a2,hspip_polymers"
